,Method,TrainSize,Train/Test,Accuracy,Repeat ID
0,MCA,25300,Train,0.8924110671936759,0
1,MCA,25300,Test,0.8894,0
2,ACA,25300,Train,0.8084584980237154,0
3,ACA,25300,Test,0.8082,0
4,FFI,25300,Train,0.3521739130434783,0
5,FFI,25300,Test,0.3506,0
6,AMCA,25300,Train,0.9932411067193676,0
7,AMCA,25300,Test,0.9926,0
0,MCA,3477,Train,0.8668392292205924,0
1,MCA,3477,Test,0.8628,0
2,ACA,3477,Train,0.7227494966925511,0
3,ACA,3477,Test,0.7242,0
4,FFI,3477,Train,0.3100373885533506,0
5,FFI,3477,Test,0.3158,0
6,AMCA,3477,Train,0.9899338510209952,0
7,AMCA,3477,Test,0.9894,0
0,MCA,25300,Train,0.8945454545454545,0
1,MCA,25300,Test,0.8938,0
2,ACA,25300,Train,0.8682213438735178,0
3,ACA,25300,Test,0.8690000000000001,0
4,FFI,25300,Train,0.34466403162055337,0
5,FFI,25300,Test,0.34,0
6,AMCA,25300,Train,0.9949011857707509,0
7,AMCA,25300,Test,0.9946,0
0,MCA,49024,Train,0.8929503916449086,0
1,MCA,49024,Test,0.8934,0
2,ACA,49024,Train,0.8335305156657964,0
3,ACA,49024,Test,0.8356,0
4,FFI,49024,Train,0.3468301240208877,0
5,FFI,49024,Test,0.349,0
6,AMCA,49024,Train,0.9932074086161881,0
7,AMCA,49024,Test,0.9932,0
0,MCA,926,Train,0.8185745140388769,0
1,MCA,926,Test,0.8102,0
2,ACA,926,Train,0.6943844492440605,0
3,ACA,926,Test,0.6816,0
4,FFI,926,Train,0.29265658747300216,0
5,FFI,926,Test,0.278,0
6,AMCA,926,Train,0.9794816414686826,0
7,AMCA,926,Test,0.9804,0
0,MCA,127,Train,0.7480314960629921,0
1,MCA,127,Test,0.7444,0
2,ACA,127,Train,0.79251968503937,0
3,ACA,127,Test,0.5988,0
4,FFI,127,Train,0.2204724409448819,0
5,FFI,127,Test,0.21600000000000003,0
6,AMCA,127,Train,0.9921259842519684,0
7,AMCA,127,Test,0.8182,0
0,MCA,3477,Train,0.8671268334771355,0
1,MCA,3477,Test,0.8676,0
2,ACA,3477,Train,0.7733678458441184,0
3,ACA,3477,Test,0.7622,0
4,FFI,3477,Train,0.3359217716422203,0
5,FFI,3477,Test,0.3294,0
6,AMCA,3477,Train,0.990221455277538,0
7,AMCA,3477,Test,0.992,0
0,MCA,49024,Train,0.8929299934725848,0
1,MCA,49024,Test,0.892,0
2,ACA,49024,Train,0.8580287206266318,0
3,ACA,49024,Test,0.858,0
4,FFI,49024,Train,0.3457082245430809,0
5,FFI,49024,Test,0.3446,0
6,AMCA,49024,Train,0.9932482049608355,0
7,AMCA,49024,Test,0.9938,0
0,MCA,478,Train,0.8556485355648535,0
