,PrimerMix,Target,Assay,Conc,Exp_id,MeltPeaks,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,PM9.8,mcr-1,G10,10,20200520_02,87.33574892,-0.00116126,-0.00061936,-0.00011286,0.00089114,0.00100234,0.00155504,0.00177904,0.00200634,0.00231284,0.00206264,0.00265974,0.00273284,0.00267904,0.00295204,0.00332064,0.00363814,0.00380074,0.00389924,0.00426874,0.00446984,0.00493584,0.00494474,0.00556024,0.00569754,0.00587514,0.00638794,0.00687404,0.00755364,0.00869954,0.01063124,0.01365054,0.01964424,0.03069614,0.04998814,0.08419814,0.13710414,0.20700414,0.27862014,0.33813814,0.38287114,0.41974914,0.44954414,0.47375014,0.49538014,0.51219814
1,PM9.8,mcr-1,G10,10,20200520_02,87.42056021,-0.0018497,-0.0006424,6.47E-05,0.0010359,0.0013915,0.0016592,0.001921,0.0023614,0.0025172,0.0027522,0.0027918,0.0033489,0.0035272,0.0039815,0.0045199,0.0046633,0.0050301,0.0055443,0.0056654,0.0062095,0.0069625,0.00705,0.0074275,0.0078577,0.0084259,0.0086727,0.0095848,0.0109839,0.0131046,0.0174017,0.0246557,0.0385967,0.0638947,0.1069277,0.1721907,0.2522327,0.3283797,0.3879107,0.4335927,0.4714957,0.5023807,0.5275707,0.5497757,0.5673657,0.5823987
2,PM9.8,mcr-1,G10,10,20200520_02,87.199579,-0.00120332,-0.00060852,9.45E-05,0.00078248,0.00093488,0.00125138,0.00171648,0.00187038,0.00212228,0.00205168,0.00224918,0.00275348,0.00274628,0.00284148,0.00296488,0.00315268,0.00332058,0.00356618,0.00371598,0.00385628,0.00400368,0.00442398,0.00470498,0.00518318,0.00559328,0.00622688,0.00699628,0.00820728,0.01010408,0.01388618,0.02003558,0.03184068,0.05317338,0.08980738,0.14506838,0.21423838,0.28062538,0.33310438,0.37381938,0.40654738,0.43435638,0.45624938,0.47550038,0.49149238,0.50521038
3,PM9.8,mcr-1,G10,10,20200520_02,87.44699729,-0.00159336,-0.00057746,6.83E-05,0.00092724,0.00117524,0.00124314,0.00159544,0.00158924,0.00212314,0.00234724,0.00218904,0.00263024,0.00290784,0.00306864,0.00325104,0.00373774,0.00385364,0.00394394,0.00440294,0.00459564,0.00487524,0.00544974,0.00559004,0.00616154,0.00658884,0.00683444,0.00738444,0.00841374,0.00961894,0.01182944,0.01583144,0.02340694,0.03721024,0.06236424,0.10438224,0.16721524,0.24243524,0.31209624,0.36596824,0.40767724,0.44240424,0.47089924,0.49429224,0.51418324,0.53072024
4,PM9.8,mcr-1,G10,10,20200520_02,87.25235088,-0.00094002,-0.00045292,9.08E-05,0.00032968,0.00097248,0.00090628,0.00138028,0.00127118,0.00158098,0.00168368,0.00189298,0.00206498,0.00250608,0.00247848,0.00285908,0.00306358,0.00350008,0.00360778,0.00374668,0.00438698,0.00489298,0.00499918,0.00541298,0.00590978,0.00631218,0.00681378,0.00733338,0.00835178,0.00983478,0.01229008,0.01680128,0.02527158,0.04106178,0.06866688,0.11487388,0.18004188,0.25349188,0.31795888,0.36634488,0.40531588,0.43729788,0.46360088,0.48570588,0.50394588,0.52007188
5,PM9.8,mcr-1,G10,10,20200520_02,87.22793869,-0.00204916,-0.00071266,0.00040224,0.00088584,0.00147374,0.00222654,0.00265644,0.00273074,0.00320254,0.00319124,0.00314674,0.00372394,0.00407614,0.00435544,0.00426774,0.00479674,0.00507604,0.00506864,0.00569184,0.00592364,0.00629884,0.00647344,0.00686634,0.00726484,0.00795604,0.00810804,0.00883734,0.00951504,0.00978934,0.01093734,0.01228244,0.01507064,0.01974994,0.02794604,0.04357154,0.06952454,0.11054054,0.16316154,0.21723354,0.26529254,0.30256454,0.33221954,0.35718754,0.37788054,0.39558154
6,PM9.8,mcr-1,G10,100,20200520_02,87.42658581,-0.00028234,-0.00049174,-0.00020084,0.00033436,0.00064056,0.00055756,0.00072346,0.00114316,0.00115206,0.00141946,0.00142266,0.00144596,0.00153836,0.00174726,0.00197176,0.00193146,0.00212856,0.00217636,0.00252696,0.00259046,0.00310086,0.00335366,0.00388696,0.00454876,0.00529986,0.00664466,0.00911606,0.01370996,0.02182136,0.03698216,0.06352016,0.10785516,0.17080916,0.24301016,0.30692316,0.35509616,0.39349716,0.42412116,0.45043516,0.47211316,0.48968616,0.50414016,0.51726216,0.52848216,0.53818716
7,PM9.8,mcr-1,G10,100,20200520_02,87.34718202,-0.00024412,-0.00037302,-8.18E-05,0.00025698,0.00044198,0.00059418,0.00091868,0.00106878,0.00109518,0.00136628,0.00131578,0.00122958,0.00147928,0.00177758,0.00181678,0.00185538,0.00211668,0.00229958,0.00263048,0.00291298,0.00314208,0.00358478,0.00384638,0.00449078,0.00525788,0.00673278,0.00913678,0.01367628,0.02170048,0.03674678,0.06336978,0.10887478,0.17402878,0.24983178,0.31855278,0.37015778,0.41038878,0.44419678,0.47194078,0.49483278,0.51479678,0.53055278,0.54395078,0.55621078,0.56664278
8,PM9.8,mcr-1,G10,100,20200520_02,87.37944342,-8.65E-05,-0.00031262,-0.00033392,0.00016308,0.00056998,0.00068238,0.00085138,0.00094218,0.00100558,0.00124258,0.00151518,0.00162108,0.00170138,0.00208508,0.00240088,0.00219078,0.00270478,0.00292398,0.00325848,0.00372158,0.00411058,0.00434468,0.00470778,0.00550408,0.00614948,0.00737848,0.00956938,0.01398158,0.02151588,0.03564438,0.06122808,0.10416508,0.16730408,0.24228508,0.31121008,0.36326508,0.40458408,0.43884708,0.46710308,0.49096108,0.51040108,0.52665008,0.54117308,0.55383708,0.56409908
9,PM9.8,mcr-1,G10,100,20200520_02,87.39812126,-0.00177412,-0.00025282,0.00037188,0.00064838,0.00100668,0.00134048,0.00141138,0.00157808,0.00203058,0.00196418,0.00216958,0.00253018,0.00261938,0.00265508,0.00292218,0.00298418,0.00328758,0.00342028,0.00375998,0.00429298,0.00468688,0.00488678,0.00565818,0.00668498,0.00829338,0.01132988,0.01653588,0.02672348,0.04483698,0.07739998,0.12890998,0.19890298,0.27382598,0.33801398,0.38641498,0.42486898,0.45621598,0.48192998,0.50383698,0.52283298,0.53813998,0.55092498,0.56224698,0.57208298,0.58137798
