,Method,TrainSize,Train/Test,Accuracy,Repeat ID
0,MCA,47,Train,0.6808510638297872,0
1,MCA,47,Test,0.5652173913043478,0
2,ACA,47,Train,1.0,0
3,ACA,47,Test,0.5217391304347826,0
4,FFI,47,Train,0.2127659574468085,0
5,FFI,47,Test,0.13043478260869565,0
6,AMCA,47,Train,1.0,0
7,AMCA,47,Test,0.5652173913043478,0
8,MCA,47,Train,0.6595744680851063,1
9,MCA,47,Test,0.6086956521739131,1
10,ACA,47,Train,1.0,1
11,ACA,47,Test,0.34782608695652173,1
12,FFI,47,Train,0.3191489361702128,1
13,FFI,47,Test,0.30434782608695654,1
14,AMCA,47,Train,1.0,1
15,AMCA,47,Test,0.391304347826087,1
16,MCA,47,Train,0.7659574468085106,2
17,MCA,47,Test,0.5217391304347826,2
18,ACA,47,Train,1.0,2
19,ACA,47,Test,0.34782608695652173,2
20,FFI,47,Train,0.2553191489361702,2
21,FFI,47,Test,0.13043478260869565,2
22,AMCA,47,Train,1.0,2
23,AMCA,47,Test,0.34782608695652173,2
24,MCA,47,Train,0.5957446808510638,3
25,MCA,47,Test,0.5217391304347826,3
26,ACA,47,Train,1.0,3
27,ACA,47,Test,0.6086956521739131,3
28,FFI,47,Train,0.19148936170212766,3
29,FFI,47,Test,0.13043478260869565,3
30,AMCA,47,Train,1.0,3
31,AMCA,47,Test,0.6086956521739131,3
32,MCA,47,Train,0.14893617021276595,4
33,MCA,47,Test,0.43478260869565216,4
34,ACA,47,Train,0.3191489361702128,4
35,ACA,47,Test,0.2608695652173913,4
36,FFI,47,Train,0.10638297872340426,4
37,FFI,47,Test,0.13043478260869565,4
38,AMCA,47,Train,0.3191489361702128,4
39,AMCA,47,Test,0.34782608695652173,4
40,MCA,47,Train,0.5531914893617021,5
41,MCA,47,Test,0.34782608695652173,5
42,ACA,47,Train,1.0,5
43,ACA,47,Test,0.5217391304347826,5
44,FFI,47,Train,0.23404255319148937,5
45,FFI,47,Test,0.13043478260869565,5
46,AMCA,47,Train,1.0,5
47,AMCA,47,Test,0.5652173913043478,5
48,MCA,47,Train,0.6382978723404256,6
49,MCA,47,Test,0.5217391304347826,6
50,ACA,47,Train,1.0,6
51,ACA,47,Test,0.43478260869565216,6
52,FFI,47,Train,0.23404255319148937,6
53,FFI,47,Test,0.08695652173913043,6
54,AMCA,47,Train,1.0,6
55,AMCA,47,Test,0.43478260869565216,6
56,MCA,47,Train,0.6595744680851063,7
57,MCA,47,Test,0.6086956521739131,7
58,ACA,47,Train,1.0,7
59,ACA,47,Test,0.43478260869565216,7
60,FFI,47,Train,0.2127659574468085,7
61,FFI,47,Test,0.17391304347826086,7
62,AMCA,47,Train,1.0,7
63,AMCA,47,Test,0.43478260869565216,7
64,MCA,47,Train,0.6595744680851063,8
65,MCA,47,Test,0.5652173913043478,8
66,ACA,47,Train,1.0,8
67,ACA,47,Test,0.391304347826087,8
68,FFI,47,Train,0.2978723404255319,8
69,FFI,47,Test,0.21739130434782608,8
70,AMCA,47,Train,1.0,8
71,AMCA,47,Test,0.391304347826087,8
72,MCA,47,Train,0.5957446808510638,9
73,MCA,47,Test,0.391304347826087,9
74,ACA,47,Train,1.0,9
75,ACA,47,Test,0.2608695652173913,9
76,FFI,47,Train,0.19148936170212766,9
77,FFI,47,Test,0.13043478260869565,9
78,AMCA,47,Train,1.0,9
79,AMCA,47,Test,0.2608695652173913,9
80,MCA,47,Train,0.48936170212765956,10
81,MCA,47,Test,0.34782608695652173,10
82,ACA,47,Train,1.0,10
83,ACA,47,Test,0.13043478260869565,10
84,FFI,47,Train,0.2127659574468085,10
85,FFI,47,Test,0.13043478260869565,10
86,AMCA,47,Train,1.0,10
87,AMCA,47,Test,0.13043478260869565,10
88,MCA,47,Train,0.723404255319149,11
89,MCA,47,Test,0.6521739130434783,11
90,ACA,47,Train,1.0,11
91,ACA,47,Test,0.43478260869565216,11
92,FFI,47,Train,0.14893617021276595,11
93,FFI,47,Test,0.08695652173913043,11
94,AMCA,47,Train,1.0,11
95,AMCA,47,Test,0.43478260869565216,11
96,MCA,47,Train,0.6382978723404256,12
97,MCA,47,Test,0.5652173913043478,12
98,ACA,47,Train,1.0,12
99,ACA,47,Test,0.5217391304347826,12
100,FFI,47,Train,0.1702127659574468,12
101,FFI,47,Test,0.08695652173913043,12
102,AMCA,47,Train,1.0,12
103,AMCA,47,Test,0.5217391304347826,12
104,MCA,47,Train,0.6595744680851063,13
105,MCA,47,Test,0.6086956521739131,13
106,ACA,47,Train,1.0,13
107,ACA,47,Test,0.34782608695652173,13
108,FFI,47,Train,0.1702127659574468,13
109,FFI,47,Test,0.08695652173913043,13
110,AMCA,47,Train,1.0,13
111,AMCA,47,Test,0.34782608695652173,13
112,MCA,47,Train,0.6170212765957447,14
113,MCA,47,Test,0.4782608695652174,14
114,ACA,47,Train,1.0,14
115,ACA,47,Test,0.5652173913043478,14
116,FFI,47,Train,0.14893617021276595,14
117,FFI,47,Test,0.08695652173913043,14
118,AMCA,47,Train,1.0,14
119,AMCA,47,Test,0.5652173913043478,14
120,MCA,64,Train,0.640625,0
121,MCA,64,Test,0.4782608695652174,0
122,ACA,64,Train,1.0,0
123,ACA,64,Test,0.5652173913043478,0
124,FFI,64,Train,0.296875,0
125,FFI,64,Test,0.2608695652173913,0
126,AMCA,64,Train,1.0,0
127,AMCA,64,Test,0.6521739130434783,0
128,MCA,64,Train,0.65625,1
129,MCA,64,Test,0.6086956521739131,1
130,ACA,64,Train,1.0,1
131,ACA,64,Test,0.34782608695652173,1
132,FFI,64,Train,0.265625,1
133,FFI,64,Test,0.13043478260869565,1
134,AMCA,64,Train,1.0,1
135,AMCA,64,Test,0.34782608695652173,1
136,MCA,64,Train,0.6875,2
137,MCA,64,Test,0.5217391304347826,2
138,ACA,64,Train,1.0,2
139,ACA,64,Test,0.34782608695652173,2
140,FFI,64,Train,0.203125,2
141,FFI,64,Test,0.08695652173913043,2
142,AMCA,64,Train,1.0,2
143,AMCA,64,Test,0.34782608695652173,2
144,MCA,64,Train,0.734375,3
145,MCA,64,Test,0.7391304347826086,3
146,ACA,64,Train,1.0,3
147,ACA,64,Test,0.6956521739130435,3
148,FFI,64,Train,0.203125,3
149,FFI,64,Test,0.13043478260869565,3
150,AMCA,64,Train,1.0,3
151,AMCA,64,Test,0.6956521739130435,3
152,MCA,64,Train,0.65625,4
153,MCA,64,Test,0.5217391304347826,4
154,ACA,64,Train,1.0,4
155,ACA,64,Test,0.2608695652173913,4
156,FFI,64,Train,0.265625,4
157,FFI,64,Test,0.21739130434782608,4
158,AMCA,64,Train,1.0,4
159,AMCA,64,Test,0.30434782608695654,4
160,MCA,64,Train,0.65625,5
161,MCA,64,Test,0.43478260869565216,5
162,ACA,64,Train,1.0,5
163,ACA,64,Test,0.5217391304347826,5
164,FFI,64,Train,0.25,5
165,FFI,64,Test,0.17391304347826086,5
166,AMCA,64,Train,1.0,5
167,AMCA,64,Test,0.5217391304347826,5
168,MCA,64,Train,0.625,6
169,MCA,64,Test,0.5217391304347826,6
170,ACA,64,Train,1.0,6
171,ACA,64,Test,0.43478260869565216,6
172,FFI,64,Train,0.203125,6
173,FFI,64,Test,0.13043478260869565,6
174,AMCA,64,Train,1.0,6
175,AMCA,64,Test,0.43478260869565216,6
176,MCA,64,Train,0.65625,7
177,MCA,64,Test,0.6086956521739131,7
178,ACA,64,Train,1.0,7
179,ACA,64,Test,0.5652173913043478,7
180,FFI,64,Train,0.1875,7
181,FFI,64,Test,0.13043478260869565,7
182,AMCA,64,Train,1.0,7
183,AMCA,64,Test,0.5652173913043478,7
184,MCA,64,Train,0.765625,8
185,MCA,64,Test,0.6956521739130435,8
186,ACA,64,Train,1.0,8
187,ACA,64,Test,0.5217391304347826,8
188,FFI,64,Train,0.25,8
189,FFI,64,Test,0.21739130434782608,8
190,AMCA,64,Train,1.0,8
191,AMCA,64,Test,0.5217391304347826,8
192,MCA,64,Train,0.578125,9
193,MCA,64,Test,0.43478260869565216,9
194,ACA,64,Train,1.0,9
195,ACA,64,Test,0.391304347826087,9
196,FFI,64,Train,0.21875,9
197,FFI,64,Test,0.13043478260869565,9
198,AMCA,64,Train,1.0,9
199,AMCA,64,Test,0.43478260869565216,9
200,MCA,64,Train,0.71875,10
201,MCA,64,Test,0.6956521739130435,10
202,ACA,64,Train,0.984375,10
203,ACA,64,Test,0.21739130434782608,10
204,FFI,64,Train,0.203125,10
205,FFI,64,Test,0.13043478260869565,10
206,AMCA,64,Train,1.0,10
207,AMCA,64,Test,0.21739130434782608,10
208,MCA,64,Train,0.609375,11
209,MCA,64,Test,0.5217391304347826,11
210,ACA,64,Train,1.0,11
211,ACA,64,Test,0.43478260869565216,11
212,FFI,64,Train,0.171875,11
213,FFI,64,Test,0.13043478260869565,11
214,AMCA,64,Train,1.0,11
215,AMCA,64,Test,0.43478260869565216,11
216,MCA,64,Train,0.65625,12
217,MCA,64,Test,0.6956521739130435,12
218,ACA,64,Train,1.0,12
219,ACA,64,Test,0.5652173913043478,12
220,FFI,64,Train,0.21875,12
221,FFI,64,Test,0.21739130434782608,12
222,AMCA,64,Train,1.0,12
223,AMCA,64,Test,0.6086956521739131,12
224,MCA,64,Train,0.6875,13
225,MCA,64,Test,0.6521739130434783,13
226,ACA,64,Train,1.0,13
227,ACA,64,Test,0.30434782608695654,13
228,FFI,64,Train,0.171875,13
229,FFI,64,Test,0.13043478260869565,13
230,AMCA,64,Train,1.0,13
231,AMCA,64,Test,0.34782608695652173,13
232,MCA,64,Train,0.640625,14
233,MCA,64,Test,0.5652173913043478,14
234,ACA,64,Train,1.0,14
235,ACA,64,Test,0.6086956521739131,14
236,FFI,64,Train,0.15625,14
237,FFI,64,Test,0.08695652173913043,14
238,AMCA,64,Train,1.0,14
239,AMCA,64,Test,0.6086956521739131,14
240,MCA,82,Train,0.6951219512195121,0
241,MCA,82,Test,0.5652173913043478,0
